id,plate,state,license_type,summons_number,issue_date,summons_image,violation_time,violation,fine_amount,penalty_amount,interest_amount,reduction_amount,payment_amount,amount_due,precinct,county,issuing_agency,violation_status,judgment_entry_date
10,HRK4579,NY,OMS,8559588541,09/11/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVWVFJQUkZVd1RWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",03:23P,EXPIRED MUNI METER,35,0,0,0,35,0,114,Q,TRAFFIC,HEARING HELD-GUILTY,
11,KRK2423,PA,PAS,4650124220,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkVsNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:22P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
12,GJH4315,NY,PAS,4650124232,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkVsNlRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:22P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
13,42278JM,NY,COM,8665639706,11/08/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1rNVVXWHBQVkdOM1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:43P,EXPIRED MUNI MTR-COMM MTR ZN,65,0,0,13,52,0,013,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,
14,58578MJ,NY,COM,8665639718,11/08/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1rNVVXWHBQVkdONFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:46P,FAIL TO DISP. MUNI METER RECPT,65,0,0,37,28,0,013,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,
15,56570MJ,NY,COM,8641753138,12/06/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1FMVVZekZOZWtWNlQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:25A,DOUBLE PARKING-MIDTOWN COMML,115,0,0,0,115,0,018,NY,TRAFFIC,,
16,C66LCC,NJ,PAS,4665348297,09/04/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1rNVVUVEJQUkVrMVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:43P,PHTO SCHOOL ZN SPEED VIOLATION,50,25,3.25,0.07,78.18,0,000,BK,DEPARTMENT OF TRANSPORTATION,,11/27/2019
17,12550JM,NY,COM,8641753126,12/06/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1FMVVZekZOZWtWNVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:10A,NO STANDING-DAY/TIME LIMITS,115,0,0,15,100,0,018,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,
18,HZT6719,NY,PAS,8857122270,12/24/2020,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VNTZSWGxOYWtrelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:38P,REG. STICKER-EXPIRED/MISSING,65,0,0,0,65,0,050,BX,TRAFFIC,HEARING HELD-GUILTY,
19,HTW6135,NY,PAS,8559589235,09/17/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVWVFJQVkVsNlRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",03:32P,NO PARKING-DAY/TIME LIMITS,60,10,0,0,70,0,108,Q,TRAFFIC,,
20,HTD1603,NY,PAS,8685301129,06/30/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5FNVVUWGROVkVWNVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:03P,NO STANDING-DAY/TIME LIMITS,115,30,0,0,145,0,060,K,TRAFFIC,,
21,AS293H,NJ,PAS,8559588802,09/12/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVWVFJQUkdkM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",03:58P,DOUBLE PARKING,115,0,0,0,115,0,110,Q,TRAFFIC,HEARING HELD-GUILTY,
22,JEJ1802,NY,PAS,8857124230,01/11/2021,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VNTZSWGxPUkVsNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:42A,REG. STICKER-EXPIRED/MISSING,65,0,0,0,65,0,046,BX,TRAFFIC,HEARING HELD-GUILTY,
23,KEX4812,NY,PAS,8857126183,01/21/2021,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VNTZSWGxPYWtVMFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:56A,NO PARKING-STREET CLEANING,65,0,0,0,65,0,042,BX,TRAFFIC,,
24,GLV2014,NY,PAS,8526804522,12/07/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNXFaM2RPUkZWNVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",07:25A,NO STANDING-EXC. AUTH. VEHICLE,95,10,0,105,0,0,045,BX,TRAFFIC,HEARING HELD-NOT GUILTY,
25,KVK2942,PA,PAS,4650124426,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkZGNVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:28P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
26,8XJ474,MA,PAS,4650124530,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkZWNlRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:34P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
27,10913MK,NY,COM,4650124440,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkZFd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:28P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
28,HKB6295,NY,PAS,4650124359,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkUweFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:27P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
29,HNC6384,NY,PAS,8559590158,09/21/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVWVFZOUkVVeFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:20P,FAIL TO DSPLY MUNI METER RECPT,35,10,0,0,45,0,114,Q,TRAFFIC,,
30,HYV1583,NY,PAS,8559590080,09/21/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVWVFZOUkVFMFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:30P,FIRE HYDRANT,115,10,0,0,125,0,114,Q,TRAFFIC,,
31,0ASDM3,CT,PAS,4650124396,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkUwMVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:28P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BX,DEPARTMENT OF TRANSPORTATION,,
32,2616864,IN,PAS,8559589569,09/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVWVFJQVkZVeVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:24P,NO STANDING-DAY/TIME LIMITS,115,0,0,0,115,0,109,Q,TRAFFIC,HEARING HELD-GUILTY,
33,T726543C,NY,OMT,8559590663,09/25/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVWVFZOUkZreVRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:58P,FAIL TO DSPLY MUNI METER RECPT,35,10,0,0,45,0,114,Q,TRAFFIC,,
34,AJ91776,CT,PAS,4650124608,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkZsM1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:01P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BX,DEPARTMENT OF TRANSPORTATION,,
35,36914MA,NY,COM,8665639895,11/09/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1rNVVXWHBQVkdjMVRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:48P,FAIL TO DISP. MUNI METER RECPT,65,0,0,37,28,0,013,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,
36,GWZ5778,NY,PAS,4650124554,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkZVeFRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:35P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
37,22101MM,NY,COM,8665639822,11/09/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1rNVVXWHBQVkdkNVRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:00P,FAIL TO DISP. MUNI METER RECPT,65,0,0,37,28,0,013,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,
38,GHF9992,NY,PAS,4650124566,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkZVeVRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:41P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
39,ECX1531,NY,PAS,8526807146,12/12/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNXFaM2RPZWtVd1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:34P,SIDEWALK,115,10,0,125,0,0,043,BX,TRAFFIC,HEARING HELD-NOT GUILTY,
40,39569ML,NY,COM,8641753242,12/07/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1FMVVZekZOZWtrd1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",09:36A,DOUBLE PARKING-MIDTOWN COMML,115,0,0,15,100,0,018,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,
41,JMS3061,NY,PAS,4674405269,12/24/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk0wNUVVWGRPVkVreVQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:25A,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0,0,75,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
42,937909N,NJ,PAS,8555450627,04/21/2017,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VNVVVVEZOUkZsNVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,,,,,,,,,,
43,268KK3,MA,PAS,7516135021,01/26/2012,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wVmVFNXFSWHBPVkVGNVRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,,,,,,,,,,
44,FTB3111,NY,PAS,7516135252,01/26/2012,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VG5wVmVFNXFSWHBPVkVreFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",,,,,,,,,,,,,
45,LCJ1890,PA,PAS,4674406407,12/24/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk0wNUVVWGRPYWxGM1RuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:33A,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0,0,75,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
46,NYC216,NY,SRF,4674420787,12/24/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk0wNUVVWGxOUkdNMFRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:01P,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0,0,75,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
47,HPL4558,NY,PAS,4703831971,08/18/2020,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSamQwMTZaM3BOVkdzelRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",07:44P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
48,N65JTL,NJ,PAS,4650124785,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkdNMFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:16P,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0,0,75,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
49,GPA4278,NY,PAS,8717713470,03/15/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamVFNTZZM2hOZWxFelRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",07:43A,NO PARKING-STREET CLEANING,45,0,0,0,45,0,032,NY,TRAFFIC,,
50,U11CVY,NJ,PAS,4650124542,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkZVd1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",12:34P,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0,0,75,0,000,BX,DEPARTMENT OF TRANSPORTATION,,
51,HHY2352,NY,PAS,8559591552,10/02/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVWVFZOVkZVeFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",02:52P,INSP. STICKER-EXPIRED/MISSING,65,10,0,0,75,0,115,Q,TRAFFIC,,
52,HXL9414,NY,PAS,4650124773,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkdNelRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:16P,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0,0,75,0,000,QN,DEPARTMENT OF TRANSPORTATION,,
53,BBP4325,NY,PAS,8704124546,01/20/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamQwNUVSWGxPUkZVd1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:11P,NO STANDING-EXC. TRUCK LOADING,95,0,0,0,95,0,013,NY,TRAFFIC,,
54,T777068C,NY,OMT,4650124803,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkdkM1RYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:17P,PHTO SCHOOL ZN SPEED VIOLATION,50,25,0,0,75,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
55,JBE4751,NY,PAS,8857127783,02/11/2021,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VNTZSWGxPZW1NMFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",10:51A,NO PARKING-DAY/TIME LIMITS,60,0,0,0,60,0,048,BX,TRAFFIC,,
56,T776807C,NY,OMT,4650124797,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkdNMVRuYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:17P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
57,81027MC,NY,COM,8641754040,12/12/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1FMVVZekZPUkVFd1RVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",08:16A,NO STANDING-DAY/TIME LIMITS,115,0,0,0,115,0,018,NY,TRAFFIC,,
58,JDG2578,NY,PAS,8524182090,05/24/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNUVSVFJOYWtFMVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",06:01A,FIRE HYDRANT,115,60,0,0,175,0,046,BX,TRAFFIC,HEARING HELD-GUILTY,
59,HSC8902,NY,PAS,8711493112,02/27/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSamVFMVVVVFZOZWtWNFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",11:56A,NO PARKING-STREET CLEANING,45,0,0,0,45,0,050,BX,TRAFFIC,,
60,Y100661C,NY,OMT,4650124736,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkdONlRtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:14P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BX,DEPARTMENT OF TRANSPORTATION,,
61,628435,NY,PAS,4650124918,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkd0NFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:20P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
62,JAJ4711,NY,OMS,4650124748,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkdNd1QwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:14P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
63,HVM7680,NY,PAS,8559592120,10/04/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVWVFZOYWtWNVRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",05:25P,FAIL TO DSPLY MUNI METER RECPT,35,0,0,0,35,0,115,Q,TRAFFIC,HEARING HELD-GUILTY,
64,HUV7932,NY,PAS,8526810285,12/19/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVmVVNXFaM2hOUkVrMFRsRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",06:58A,FRONT OR BACK PLATE MISSING,65,30,0,0,95,0,049,BX,TRAFFIC,,
65,YBU53M,NJ,PAS,4650124852,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkdjeFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:18P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,MN,DEPARTMENT OF TRANSPORTATION,,
66,S63JPS,NJ,PAS,4650124724,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkdONVRrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:14P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
67,ISTE32,FL,PAS,4650124888,11/16/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VGtSWk1VMUVSWGxPUkdjMFQwRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:19P,PHTO SCHOOL ZN SPEED VIOLATION,50,0,0,0,50,0,000,BK,DEPARTMENT OF TRANSPORTATION,,
68,GKV9332,NY,PAS,8559592489,10/09/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVWVFZOYWxFMFQxRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:52P,FIRE HYDRANT,115,10,0,10,115,0,108,Q,TRAFFIC,,
69,HKN7296,NY,PAS,8685303450,07/06/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk5FNVVUWGROZWxFeFRVRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:09A,NO PARKING-STREET CLEANING,45,60,0.46,0.05,105.41,0,070,K,TRAFFIC,,10/25/2018
70,JAM3971,NY,PAS,8559592702,10/09/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVWVFZOYW1OM1RXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",06:12P,EXPIRED MUNI METER,35,10,0,0,45,0,108,Q,TRAFFIC,,
71,HNZ5539,NY,PAS,8559592611,10/09/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSVk1VOVVWVFZOYWxsNFRWRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",03:53P,INSP. STICKER-EXPIRED/MISSING,65,10,0,0,75,0,108,Q,TRAFFIC,,
72,F18KJB,NJ,PAS,8665640113,11/10/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1rNVVXVEJOUkVWNFRYYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:25P,FAIL TO DSPLY MUNI METER RECPT,65,0,0,0,65,0,013,NY,TRAFFIC,,
73,SRT825,NY,SPO,8857158706,11/20/2020,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSbk1VNTZSVEZQUkdOM1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:04P,NO STANDING-DAY/TIME LIMITS,115,0,0,0,115,0,018,NY,TRAFFIC,HEARING HELD-GUILTY,
74,63512MC,NY,COM,8665640046,11/10/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1rNVVXVEJOUkVFd1RtYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:09P,DOUBLE PARKING-MIDTOWN COMML,115,0,0,33,82,0,010,NY,TRAFFIC,HEARING HELD-GUILTY REDUCTION,
75,HFB4628,NY,PAS,8630494244,08/30/2019,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWmVrMUVVVFZPUkVrd1RrRTlQUT09&locationName=_____________________', 'description': 'View Summons'}",01:42P,EXPIRED MUNI METER,35,0,0,0,35,0,114,Q,TRAFFIC,,
76,33435MJ,NY,COM,8641754052,12/12/2018,"{'url': 'http://nycserv.nyc.gov/NYCServWeb/ShowImage?searchID=VDBSWk1FMVVZekZPUkVFeFRXYzlQUT09&locationName=_____________________', 'description': 'View Summons'}",09:07A,NO STANDING-DAY/TIME LIMITS,115,0,0,0,115,0,018,NY,TRAFFIC,,
